"game_id","user_id","session_number","game_in_session","total_games_played","source","date_played","game_duration","win","level"
"98","40","1","1","1","Unity","2024-10-28 10:39:00","25.471","0","1"
"99","40","1","2","2","Unity","2024-10-28 10:40:12","37.702","0","1"
"100","40","2","1","3","Unity","2024-10-28 13:11:36","18.91","0","1"
"101","40","0","1","1","Unity-Test","2024-10-29 14:04:31","1.9533437999999999","0","1"
"102","40","0","1","1","PacmanSceneTest","2024-10-29 14:44:56","4.9551077999999995","0","1"
"103","40","0","2","2","PacmanSceneTest","2024-10-29 14:45:17","64.5016141","0","1"
"104","40","0","1","1","PacmanSceneTest","2024-10-29 14:49:21","34.2512593","0","1"
"105","40","0","2","2","PacmanSceneTest","2024-10-29 14:50:32","56.2159804","1","1"
"106","40","0","1","1","PacmanSceneTest","2024-10-30 11:52:58","20.5202907","0","1"
"107","40","0","1","1","PacmanSceneTest","2024-10-30 11:55:37","0.9012212","0","1"
"108","42","1","1","1","Pilot-build-remote","2024-10-30 12:02:43","59.1447322","1","1"
"109","42","1","2","2","Pilot-build-remote","2024-10-30 12:03:48","35.9445397","0","2"
"110","40","0","1","1","PacmanSceneTest","2024-10-30 12:09:18","15.6606413","1","1"
"111","40","0","2","2","PacmanSceneTest","2024-10-30 12:09:40","10.0577829","1","2"
"112","40","0","3","3","PacmanSceneTest","2024-10-30 12:09:56","4.1279671","1","3"
"113","40","0","4","4","PacmanSceneTest","2024-10-30 12:10:07","3.3713034","1","4"
"114","40","0","5","5","PacmanSceneTest","2024-10-30 12:10:16","9.8902295","1","5"
"115","40","0","6","6","PacmanSceneTest","2024-10-30 12:10:32","2.7132297999999997","0","6"
"116","42","2","1","3","Pilot-build-remote","2024-10-30 13:10:33","79.167","1","1"
"117","42","2","2","4","Pilot-build-remote","2024-10-30 13:11:59","9.631","0","2"
"118","42","3","1","5","Pilot-build-remote","2024-10-30 13:20:47","69.188","1","1"
"119","42","3","2","6","Pilot-build-remote","2024-10-30 13:22:03","10.478","0","2"
"120","42","4","1","7","PilotTest","2024-10-30 13:40:57","5.015","1","1"
"121","42","4","2","8","PilotTest","2024-10-30 13:41:09","62.641999999999996","1","2"
"122","42","4","3","9","PilotTest","2024-10-30 13:42:18","27.99","0","3"
"123","42","4","4","10","PilotTest","2024-10-30 13:42:56","50.562","1","1"
"124","42","4","5","11","PilotTest","2024-10-30 13:43:53","32.12","0","2"
"125","42","4","6","12","PilotTest","2024-10-30 13:44:44","52.561","0","1"
"126","42","5","1","13","PilotTest","2024-10-30 14:00:02","3.501","1","1"
"127","42","5","2","14","PilotTest","2024-10-30 14:00:12","1.135","0","2"
"128","42","6","1","15","PilotTest","2024-10-30 14:17:59","1.039","1","1"
"129","42","6","2","16","PilotTest","2024-10-30 14:18:11","10.822","1","2"
"130","42","6","3","17","PilotTest","2024-10-30 14:18:28","0.45399999999999996","0","3"
"131","42","7","1","18","PilotTest","2024-10-31 06:45:06","26.834","1","1"
"132","42","7","2","19","PilotTest","2024-10-31 06:45:39","25.416999999999998","0","2"
"133","42","7","3","20","PilotTest","2024-10-31 06:53:47","64.467","1","1"
"134","42","7","4","21","PilotTest","2024-10-31 06:54:58","9.301","0","2"
"135","42","7","5","22","PilotTest","2024-10-31 06:58:25","39.234","0","1"
"136","42","7","6","23","PilotTest","2024-10-31 06:59:49","66.268","0","1"
"137","44","1","1","1","PilotTest","2024-10-31 07:50:18","65.75699999999999","0","1"
